Date,TOPIX,EXCH
2017-01-04,0.015434474542273868,0.01024336741476084
2017-01-05,0.016188765440352526,-0.004084764423553544
2017-01-06,-0.010581699655849874,-0.016421294936334263
2017-01-10,0.005827337636462815,0.005791104822814752
2017-01-11,-0.0016070481216523547,-0.0022433141418165548
2017-01-12,-0.002295648008795226,-0.0031144587853235706
2017-01-13,-0.006788363120556973,-0.0059966285810038045
2017-01-17,-0.005431297153993597,-0.0045430796293999265
2017-01-18,-0.015008485721893727,-0.013754404812178045
2017-01-19,0.016953024441349385,0.017861545640481147
2017-01-20,-0.0009423344413788115,0.0017426161070996926
2017-01-24,-0.01253071624045532,-0.01907163311158211
2017-01-25,0.012000262624698443,0.009713100646499662
2017-01-26,0.006535693595007608,-0.004579891746820941
2017-01-27,0.00970158312911984,0.010974167464215867
2017-01-31,-0.01658451601151789,-0.006570038087123642
2017-02-01,-0.009745510605151608,-0.008650420258542901
2017-02-02,0.012376281655248178,0.003981425299184771
2017-02-03,-0.009356877889928228,-0.00389277674631483
2017-02-07,-0.0035356626210276687,-0.009440754123150263
2017-02-08,0.0055786584943353645,0.005710732036497745
2017-02-09,-0.0004873037711012884,-0.004011952066962365
2017-02-10,0.011500025230525956,0.011634750899929713
2017-02-14,0.015166835157863545,0.0044052934679159605
2017-02-15,-0.0033212697597377883,0.004473495465257216
2017-02-16,7.721461161658283e-05,-0.0007879876080805204
2017-02-17,-0.007316767169621485,-0.008267417362287866
2017-02-21,0.003254918410887875,-0.0011487652038733032
2017-02-22,0.007446990142844001,0.005203063018940135
2017-02-23,-0.0017714341692460778,-0.003436278107054491
2017-02-24,-0.006186065039758937,-0.00628626621892181
2017-02-28,-0.003036121796110791,0.0009765192306918635
2017-03-01,0.00046669908479568534,0.000709597333305112
2017-03-02,0.018752375096546814,0.008388199817317421
2017-03-03,-0.0062651330035601305,0.0059612695164990015
2017-03-07,-0.0059504689769180885,-0.004555417426592712
2017-03-08,-0.0001867251314910945,0.0007899241205944207
2017-03-09,0.0026045617036478674,0.0032409260619363778
2017-03-10,0.006453163499013037,0.0051463326108054375
2017-03-14,0.006411787046216588,-0.0005221477796819585
2017-03-15,-0.005582557289313783,-0.0011322563592592871
2017-03-16,-0.00429390887283887,-0.01201084004449715
2017-03-17,0.0024112039874610858,-0.0006175835036819066
2017-03-21,-0.003070980392041456,-0.006641012586341866
2017-03-22,-0.013131944858163713,-0.007490671729157405
2017-03-23,-0.007690540784834887,-0.005025136202672975
2017-03-24,0.0010397220497795345,-0.001981090247214823
2017-03-28,0.004857306089600222,-0.0025270771571248574
2017-03-29,0.004335304419972985,0.00450816740433968
2017-03-30,-0.004166213025671439,-0.0009900545338670241
2017-03-31,-0.0002991811564205804,0.00780378001678983
2017-04-04,-0.0157547586472786,-0.009245611392101338
2017-04-05,-0.0022294488208514096,-0.0012633100398797836
2017-04-06,-0.0087540138097566,-0.0004515692106537017
2017-04-07,-0.003748481570333695,0.0009931832336427249
2017-04-11,0.0007776258670890712,0.0011724916788544704
2017-04-12,-0.006649412171432445,-0.011969675009117609
2017-04-13,-0.011152002375983905,-0.005396765899680744
2017-04-14,0.0005592002218852699,0.0005501558913749705
2017-04-18,0.0071668337723158615,-0.001651376522070258
2017-04-19,-0.008947814601111048,-0.004509279255402454
2017-04-20,0.006107606488797046,0.004050079173861576
2017-04-21,0.008442690552215915,0.004216708053813356
2017-04-25,0.011238141481649144,0.004107906639357672
2017-04-26,0.01815779394811834,0.011953415894406128
2017-04-27,0.001273731584710447,-0.00027008778017023616
2017-04-28,0.0029136771050612964,0.0018890843561480963
2017-05-02,0.004020856681416163,0.005109598315891084
2017-05-09,0.027620237137958803,0.012528485877643547
2017-05-10,-0.0008769301699143028,0.006425230043710428
2017-05-11,0.0020365771117862863,0.002628582955717995
2017-05-12,-0.0015443921160169793,-0.0036819538396359874
2017-05-16,0.0016577636598809065,-0.0007028642004343055
2017-05-17,-0.007599070567374078,-0.005817557174238708
2017-05-18,-0.013750927531938295,-0.020541938709059515
2017-05-19,0.002230099543456987,0.006117327460970046
2017-05-23,0.005556779083342178,-0.0017953326186743723
2017-05-24,0.0071564052818571255,0.004303395560053325
2017-05-25,-0.0023543682482340955,-0.0025080629413789524
2017-05-26,0.0020944542719574244,0.0029552701399238046
2017-05-30,-0.0047282613891130865,-0.005110056392950035
2017-05-31,-0.001007004501894393,-0.0036918685848270627
2017-06-01,0.0014337194086806448,-0.0006316834573620866
2017-06-02,0.015254254614414542,0.005221943981151611
2017-06-06,0.007490952525797567,-0.008024205701925524
2017-06-07,-0.007610111016138177,-0.009641697395485593
2017-06-08,0.005073596644850298,0.0036493061209235123
2017-06-09,-0.008063473498413742,0.0017287661827944945
2017-06-13,-0.00036492447097646874,-0.0005456033599022803
2017-06-14,0.0064358117273100035,0.001181764602786295
2017-06-15,-0.007751903817014849,-0.0044616509250312575
2017-06-16,0.005354294017030803,0.012334638516819041
2017-06-20,0.01491785052066863,0.005304098379356859
2017-06-21,-0.002943524829388977,-0.0008072835348951202
2017-06-22,-0.001251766269095178,-0.0005385513100275574
2017-06-23,-0.0002232516613620561,-0.00044901442090683474
2017-06-27,0.0038873703386759217,0.004570514744884235
2017-06-28,-0.0016075881606969489,0.004638723750542972
2017-06-29,0.006378013232025026,-0.0005341404916450188
2017-06-30,-0.00944577595601448,-0.0010691376642073536
2017-07-04,0.008713817318977135,0.010728479903558075
2017-07-05,-0.010279210042757114,-0.0009705740383392225
2017-07-06,0.005869991038302658,-8.828073278710491e-05
